Rank,Team,W,L,AdjOffEff,AdjDefEff,Total
209,CALIFORNIA DAVIS,10,9,1.072201097297456,1.0982675393720487,-0.026066442074592633
210,MISSOURI STATE,9,9,1.0616628649213338,1.0881622010684027,-0.026499336147068897
211,INDIANA STATE,7,13,1.0433298107906321,1.0709138852826607,-0.0275840744920286
212,DIXIE STATE,9,11,1.0713981848629497,1.1005193567916571,-0.029121171928707446
213,DARTMOUTH,7,10,1.0643581092195928,1.0965133721539544,-0.03215526293436155
214,EASTERN MICHIGAN,8,12,1.0330512266751202,1.0664506173660329,-0.03339939069091269
215,TARLETON STATE,7,9,1.0680068680816728,1.1016157863473224,-0.0336089182656496
216,COASTAL CAROLINA,12,10,1.0241229038021546,1.0594146289097701,-0.03529172510761547
217,NEW ORLEANS,8,13,1.079878830039229,1.1151865548647981,-0.0353077248255691
218,IONA,14,9,1.0232047314729595,1.0595604056517882,-0.03635567417882868
219,TENNESSEE STATE,11,7,1.0520551432633878,1.0884251021561246,-0.036369958892736864
220,GREEN BAY,10,11,1.1073245199108603,1.1437772508606203,-0.03645273094975998
221,YOUNGSTOWN STATE,8,12,1.0518694454016901,1.0900923819852113,-0.03822293658352116
222,TULANE,11,9,1.0627810585749031,1.10127703009725,-0.03849597152234696
223,LINDENWOOD,10,9,1.0178772588560931,1.0574777882592568,-0.03960052940316361
224,STONY BROOK,11,9,1.0473641253979915,1.0899691378806335,-0.042605012482642035
225,IPFW,10,8,1.059831282194293,1.1035698134783938,-0.04373853128410077
226,OLD DOMINION,6,15,1.0395866506546252,1.0835886204845,-0.04400196982987481
227,SAN DIEGO,8,13,1.0619341483421707,1.1087468057247607,-0.046812657382589995
228,MERRIMACK,13,9,1.0382823411453772,1.0858093858900515,-0.047527044744674285
229,OREGON STATE,11,12,1.0665083287560635,1.1145566977462356,-0.04804836899017206
230,CAL STATE NORTHRIDGE,10,10,1.0447361960532975,1.0943262774166387,-0.0495900813633412
231,SAINT PETERS,11,7,1.0257756395983508,1.0754630430155858,-0.04968740341723499
